Predicted,Text
Fake,5000 ???? ???  ?????????? ??????? 250000 ????? ?????
original,??? ??????  ?????????  ??????????? ????????? ?????????? ..?????? ??????????? ?????????? ...??????????? ???
Fake,"??????  ??????  ????????????  ????????????  ???? ?????????? ???????  ????????????,?????  ?????? ???????  ????????????"
Fake,Shame for entire Woman&#39
Fake,135 code janaghal andhu wide business cheythalum vijayikum in India
Fake,"Why not all countries club together n block china to the maximum extend, and rename covid 19 as chinese virus? In all such cases when some one work to destroy others,  the nature intervene n contain such negative force.  That is the grace of god, the truth."
original,Ethil appuram ????????? ???????????? cpmne???adipoli nalla avatharanam
original,????? ???? ????? ???? ????????????? ??????????? ????????? ??????? ?????????? ???????????? ??? ?????? ????????????
original,????. ??? ????? ????????? ????. ????????? ???????? ?????? ?????????
original,Marunaadan kandupidutham
original,? ???????? ???? ???????????? ???????????..
original,"????? ?????????? ??????????... ????????? ??? ??? ????? ??????.... ?????, ???????????????? covid ???????????????"
Fake,Corona  virus is a programmed VIRUS  created by  CHINA...
original,???? ???????..?
original,"????? ?????? ??????????,  ????????????? ????????  ??????? ?????????  ??????????..!"
Fake,?? ????????   ??? ???????????????????? . ???  ??????  ????????? ??????????????????? ????? ??????  ????? ?????  ?? ???????  ????????? ???????????.  ? ???????? ??? ??????????? ???? ????? ????. ???????? ????? ????????? ??????????????  ???????? ???????? ??????? ???  ??????????  ?????? ?????????  ??????.
Fake,??????? ?????????????? ?????????? ??? ????? ?????????? ????? ????? ????????? ???????? ??????? ? ???????????.. ??? ?????? ???????.. ?????
original,??????? ??????????????? ??? ?????????... ????????????? ??
Fake,"Finally  ,world will be named and count, based on, before  Corina and after Corona"
original,"Bengalikal egane namude nattil ethii ennu manasilakunundallo.. ?<br>Evaruk oru 5 varsham kude koduthal , subham ?"
original,??????? ?
Fake,??? ??????????????? ?????? ?????? ????????? ??????? ???????? ??????? ?????????? ?????? ??? ??????? ?????????? ?????? ??????????? ?????? ??????????? ?
Fake,Allahuuu akbarr?
original,Palte.  Mahtunu.
original,"???????? ??????, ???????? ???? ?????? ????????? ??? ????, ??????????? ?????? as ushual ??????"
original,??????  ????????  ???????? ????  ???
original,????? ?????? ??? ???? ????????? ???????? ???? ????? ????? ?????? ??? ?????? ?????????? ???
original,??? ??????????? ???? ???? ???. ????? ????? ????? ????? ???? ????
Fake,??????????? ????????? ????????? ?????? ???????????? ?????????? ????????? ???? .
Fake,? ??????????????????? ???? ???????????????? ???? ???
Fake,??????????? ????? ?????????????? ??????????????? ?????? ?????????? ????????????
Fake,"Communists ? have to wear mask , why to enjoy monkey ? faces?"
original,??????? ?????????? ?????
Fake,??????? ?????? ????????? ante-dote ?????. <br>?????????? ???????????????? ????????? ??? ??????????????????????? ???????????????.  ????????????? ????????? ????????.  ????? ??????? ??????? ?????????????? 20 ?????? ?????????? ????? infected ???. <br>?????? ????? ???????? ???????? ????????????? corona infected ???????? ?????????????. <br>Patnayil ??????????? ?????????? ????????????? ???. <br>??????? corona infected ?????????????. <br>??????? ?????? ??? ????????? ?????? ?????? ???????????? ????????????? ????????????. <br>??????? ?????? lockin ?????????????????????????????? ??? ????? ????? ????? ?????????. <br>?????? ???????????? ???????????? ???????? ??? ??????????????????. ?????????????? ????? ????????? ????????. <br><br>?????? ???? ??????????????????? ????? ????????? ?????? ????????????? ??????? ??????? ???????? ???????????.  ????? ????? ??????????  ?????.  ????? ?????????? ??????? ???????? cut ?????? ??????????? ?????? ???????????????.  ?????????? ???????? ???? ????????? !
original,"?????  ?????????? ?????, ??????????????? ????????? ???????????"
original,???? ?????????? ???????
original,Super  super  Thiruvathira  kali  .
Fake,"Russia had acted proactive to quarantine all  foreign country visitors in separate building  for a safe period thus created a firewall. Where as in India travellers were allowed for  self quarantine, which was bad decision lead to the  current mess including Kerala"
Fake,?????????? ???????????? ?????? ???????????????....<br>???????????? ?????? ????? ???????
Fake,??????? ??? ????? ???? ?????? ????? ???????
original,"Coronaykku nammude pathanjali maman valla, marunno kashayamo kandethikanum"
Fake,??????? no ???????????? ?????????? ????????????. ?????????? ??????? ????????.
Fake,??????? ???? ????????????... ?????????? ??????? ??????? ????????...
Fake,Ede sagavu  endina epo America poyadu keralitil hospital elle
original,Ezhuthachanu. Ninnum. Kidannum. Patham.
original,?????? ?????? ???<br>???<br>??????? ??????<br>????? ????  ????????<br>???? ??????? ???? ????
Fake,They revised the social distancing from 2M to 2cm so it’s fine. ??
Fake,"???????? ????? ????? ?????, ???? ????? ?????, ????????? ???????? ?????... ????? ????? ????????????? ?????, ???? ???????? ???????????? ?????... ???? ????????????????? ????? ????????????"
Fake,??? ??????? ????? ???????? ?????? ???????????????????. ???????? ??????? ???????????????. ????? ????? ????????? ??? ?????? ??? ?????? ?????.
Fake,Population target ethreya expect cheyyunne sirmar ?
Fake,???????????????? ?????? ?????? ???? ???????????. ???? ??????????? ???? ???????????? ?????????????  ??????? ??? ??????? ????????? ????? ???????? ????????????? ???? . ????? ?????? who ??????? ????????? ???????? ??????? ?????????
original,??? ??????? ????????? ??????? ??????.. ??????????? 500-? ??????? ???? ????... ?????? ????????? ?????????? ???????..
Fake,We can&#39
Fake,The next North Korea.... Congratss...!!
Fake,No interest to hear you
original,??????????? ?????? ???? ??????? ??? ????????? ??????? ????
original,???????? ??? ???????
Fake,??? ???????????? ????? ??????????? ????? ??????? ??? ?? ???????????????
original,??????????????? ?????????? ????????????? ?????? ??? ????? ??????????? ????
original,??????????????
Fake,Neeyoke marunnu companyude kayil ninnu cash medichat kidannu chilakunnath kndille naaarikal..... Ninteyoke oru media phoooooooo
original,???? ?????? ????? ???????? ?? ??????????...
original,??????? ?????? ?????.. ?
Fake,Kumbha  mela  ??   ??????????  ???  Christian  Mechinery  ????  ???  ???????.
original,Panna rascal  paranaari...
Fake,"<b>korona ??????? ???? ????? ?????</b><br>?????? ????? ???????? ??? ????????? ????? ?????? ????? ?? ????? ?????? ????????? ????? ???????????... ????? ???????? ??? ????? ????? ????????????? ??? ????? ??????????<br>????? ???????????????, ????? ???? ???? ???? ?????? ????? ????? ?????? ????????? ???... ???? ???????? ????? ????? ?????....<br>???? ??? ??????? ?? ???? ?????????<br>130  ???? ?????? ?????? ??????? ????? ???????...????????????? ???????....."
original,Oro koprayangal.....
original,<b>????????</b>
original,?????????? ??????????? ?????
Fake,????????? ??? ??????????? ?? ?????? ????????? ??? ??????????? ?
original,Ivide pravasikal vannal anallo kuzhapam
original,Thiruvathirakkalinadakkatte.covid.<br>????????.koodatte.iniyumkoodatte.thiruvathirakalikkuaalukalpora
Fake,????? ?????? ????? dyfi. ????? ??????????. ????????? ???????? ???????????????? ?????????? ???????????????.
original,Ivde oru govt ille ea neriked kaanikumbol ellavarum urangukayaayirunno atho oru  samudayathe motham theevravaadhikal ennu vilikuvaanulla avasaram  viniyogikukayaayirunno  kalla naariya mathabraanthanmaare ningal orikalum swargathil praveshikukayilla saa.oohya dhrohikal
original,Ivareyokke jeyipichavare sammadikkanam?
Fake,?????? ??????????? ?????? question ???????? ??????????
Fake,"???????????????????? ??????? ???????????<br><a href=""https://youtu.be/d9avTdZObZ0"">https://youtu.be/d9avTdZObZ0</a>"
original,??????? ???? ?????????? ???????? ??????.???? ?? ???? ?????????? ???????? ??????.
Fake,????? ???? ???????? ??????? ??????
Fake,"China has created this Virous and they have the antidote. This is the weapon they tried  <br> To use against  India and US ,  but we will come back strongly."
original,Medam ?????????? thooralle
original,???????? ????? ???? ??????? ?????????????? ????? ????. ????????????? ???????????? ???????? ?????????? ??????? ????????? ???????????? ????????? ??????????? . ??? ?????????????  ??????????????? ????? ????????????? ????????????? ?????? ?????????????? . &quot
Fake,ithoru ottapeetta sambavam ayirikkum.. <br>Mandanmar
original,Super
Fake,Balikudeerangale....... Jai dingan
Fake,???? ??? ? ????????? ?????? ??????? ???????? ?????????? ???? ????? ???
Fake,Koronaiku sesham veendum namal pazhaya kuththazhinja jeevitham thanne thudarananu bhavamenkil ithilum valiya duranthangal undakum.Deivathe snehichum Deivakalpanakal anusarichum jeevikkan nammuk kazhiyumarakanam.that is better.
original,???? ???? ???
original,???????? ??????????? ???????????????? ??????? ????????? ?????? ???.. ??????? ????? ????????? ????????? ???? ?????????.. ????? ??? ????? ???? ?????? ??????? ??? ???? ???????? ???? ???.. ????? ????? ??????? ????????????? ????? ???? ?????
original,Kitt vangi kuthiyavarella moonji nadakkunnu ????
Fake,Ok  Sir  Thank  u  ??????????
Fake,Prepare List of all products from Chineese companies n stop buying it
