ID,News,Label
FAKE_1001,കേള്‍വി തകരാറുള്ള കുട്ടികള്‍ക്ക് നടത്തുന്ന സൗജന്യ കോക്ലിയാര്‍ ഇംപ്ലാന്റേഷന്‍ സര്‍ജറി പിണറായി സര്‍ക്കാര്‍ നിര്‍ത്തലാക്കി.,FALSE     
FAKE_1002,ചന്ദ്രയാന് കേരള മുഖ്യമന്ത്രി പിണറായി വിജയൻ മാത്രം ആശംസ നേർന്നില്ല.,FALSE     
FAKE_1003,പിണറായി വിജയന്‍ സര്‍ക്കാര്‍ നിര്‍മിച്ച കേരളത്തിലെ അത്യാധുനിക റോഡിന്റെ ദൃശ്യം.,FALSE     
FAKE_1004,വിഴിഞ്ഞത്ത് തീരദേശവാസികള്‍ ആക്രമിച്ചപ്പോള്‍ മുഖ്യമന്ത്രി പിണറായി വിജയന്‍ ഉപേക്ഷിച്ച കാര്‍.,FALSE     
FAKE_1005,കുരിശിന് മുന്നില്‍ കൈകൂപ്പി നില്‍ക്കുന്ന പിണറായി വിജയന്‍.,FALSE     
FAKE_1006,1971ലെ തലശ്ശേരി കലാപത്തില്‍ പങ്കുണ്ടായിരുന്ന പിണറായി വിജയനെ ഐപിഎസ് ഓഫിസറായ അജിത് ഡോവല്‍ അറസ്റ്റ് ചെയ്തിരുന്നു.,FALSE     
FAKE_1007,ഗവര്‍ണര്‍ ആരിഫ് മുഹമ്മദ് ഖാനുമായുള്ളതര്‍ക്കം പരിഹരിക്കാന്‍ പിണറായി വിജയന്‍ കേന്ദ്ര ആഭ്യന്തരമന്ത്രി അമിത്ഷായെ കാണുന്നു.,FALSE     
FAKE_1008,എല്ലാ മേഖലകളിലും കേരളം തകര്‍ന്നടിഞ്ഞുവെന്ന് സമ്മതിക്കുന്ന മുഖ്യമന്ത്രി പിണറായി വിജയന്റെ പ്രതികരണം,FALSE     
FAKE_1009,മികച്ച പിന്നണി ഗായികയ്ക്കുള്ള ദേശീയ ചലച്ചിത്ര അവാർഡ് നേടിയ ആദിവാസി ഗായിക നഞ്ചിയമ്മയെ മുഖ്യമന്ത്രി പിണറായി വിജയൻ ഇതുവരെയും അഭിനന്ദിച്ചിട്ടില്ല.,FALSE     
FAKE_1010,രാജസ്ഥാനിലെ ഉദയ്പൂരിൽ പ്രവാചകനിന്ദ വിഷയവുമായി ബന്ധപ്പെട്ട ഹിന്ദുമതസ്ഥനായ തയ്യൽക്കാരന്റെ കൊലപാതകത്തിൽ കേരള മുഖ്യമന്ത്രി പിണറായി വിജയൻ വാക്കുകൊണ്ട് പോലും പ്രതികരിക്കാൻ തയ്യാറായിട്ടില്ല.,FALSE     
