ID,News,Label,translated_text
FAKE_1001,കേള്‍വി തകരാറുള്ള കുട്ടികള്‍ക്ക് നടത്തുന്ന സൗജന്യ കോക്ലിയാര്‍ ഇംപ്ലാന്റേഷന്‍ സര്‍ജറി പിണറായി സര്‍ക്കാര്‍ നിര്‍ത്തലാക്കി.,FALSE     ,"For example, in the United States, the World Health Organization (now called the U.S.A.) stated: ""It's not possible for parents to have children who are at risk of heart attack. """
FAKE_1002,ചന്ദ്രയാന് കേരള മുഖ്യമന്ത്രി പിണറായി വിജയൻ മാത്രം ആശംസ നേർന്നില്ല.,FALSE     ,The moon did not offer only a victory as chief minister.
FAKE_1003,പിണറായി വിജയന്‍ സര്‍ക്കാര്‍ നിര്‍മിച്ച കേരളത്തിലെ അത്യാധുനിക റോഡിന്റെ ദൃശ്യം.,FALSE     ,"As a result, a number of scientists have been able to find a way to get to know each other better and to learn more about God's purpose for the earth and his purpose for the earth."
FAKE_1004,വിഴിഞ്ഞത്ത് തീരദേശവാസികള്‍ ആക്രമിച്ചപ്പോള്‍ മുഖ്യമന്ത്രി പിണറായി വിജയന്‍ ഉപേക്ഷിച്ച കാര്‍.,FALSE     ,"In time, however, it became evident that he was not going to have any knowledge of the Bible. In time, he began to study the Bible with Jehovah's Witnesses, and he began to study the Bible with Jehovah's Witnesses."
FAKE_1005,കുരിശിന് മുന്നില്‍ കൈകൂപ്പി നില്‍ക്കുന്ന പിണറായി വിജയന്‍.,FALSE     ,"In front of the cross, it was a success."
FAKE_1006,1971ലെ തലശ്ശേരി കലാപത്തില്‍ പങ്കുണ്ടായിരുന്ന പിണറായി വിജയനെ ഐപിഎസ് ഓഫിസറായ അജിത് ഡോവല്‍ അറസ്റ്റ് ചെയ്തിരുന്നു.,FALSE     ,"In 1971, the U.S. president of the U.S.R. had been arrested as part of the rebellion."
FAKE_1007,ഗവര്‍ണര്‍ ആരിഫ് മുഹമ്മദ് ഖാനുമായുള്ളതര്‍ക്കം പരിഹരിക്കാന്‍ പിണറായി വിജയന്‍ കേന്ദ്ര ആഭ്യന്തരമന്ത്രി അമിത്ഷായെ കാണുന്നു.,FALSE     ,"The International Ministry of Human Rights states: ""The most important thing to do is to get to know each other better and to learn more about God's Word, the Bible, and the Bible's hope of living forever on a paradise earth. "" — See the box ""The Bible — What Does the Bible Really Teach?, published by Jehovah's Witnesses, published by Jehovah's Witnesses, published by Jehovah's Witnesses, published by Jehovah's Witnesses, published by Jehovah's Witnesses, published by Jehovah's Witnesses, published by Jehovah's Witnesses, published by Jehovah's Witnesses."
FAKE_1008,എല്ലാ മേഖലകളിലും കേരളം തകര്‍ന്നടിഞ്ഞുവെന്ന് സമ്മതിക്കുന്ന മുഖ്യമന്ത്രി പിണറായി വിജയന്റെ പ്രതികരണം,FALSE     ,"The chief minister of victory, who claims to have broken down every corner of the world."
FAKE_1009,മികച്ച പിന്നണി ഗായികയ്ക്കുള്ള ദേശീയ ചലച്ചിത്ര അവാർഡ് നേടിയ ആദിവാസി ഗായിക നഞ്ചിയമ്മയെ മുഖ്യമന്ത്രി പിണറായി വിജയൻ ഇതുവരെയും അഭിനന്ദിച്ചിട്ടില്ല.,FALSE     ,"The national film for the best is still very grateful to the prime minister of the Matttanian Republic, Mahati, who has been the chief minister of the Council of Human Rights, who has not yet been blessed with success."
FAKE_1010,രാജസ്ഥാനിലെ ഉദയ്പൂരിൽ പ്രവാചകനിന്ദ വിഷയവുമായി ബന്ധപ്പെട്ട ഹിന്ദുമതസ്ഥനായ തയ്യൽക്കാരന്റെ കൊലപാതകത്തിൽ കേരള മുഖ്യമന്ത്രി പിണറായി വിജയൻ വാക്കുകൊണ്ട് പോലും പ്രതികരിക്കാൻ തയ്യാറായിട്ടില്ല.,FALSE     ,"Even the prime minister of the Catholic Reformation, who is associated with the false religion, has not responded by word to victory as a minister."
FAKE_1011,മുഖ്യമന്ത്രിയുടെ ബിനാമി എന്ന് സ്വർണക്കടത്തു കേസ് സ്വപ്ന സുരേഷ് ആരോപിക്കുന്ന ഷാജ് കിരണുമായി മുഖ്യമന്ത്രി പിണറായി വിജയൻ നിൽക്കുന്ന ചിത്രം.,FALSE     ,"The prime minister of the golden company, named Bishmi, is the main minister of the Ministry of Justice who claims to be the prime minister of the Ministry."
FAKE_1012,പിണറായി വിജയന്‍ ഇടപെട്ട് കേരളത്തില്‍ നിന്നുള്ള സംസ്‌കൃത സിനിമ പ്രിയമാനസം IFFK യില്‍ നിന്ന് ഒഴിവാക്കി. ഹിന്ദുത്വ അജന്‍ഡയാണ് ചിത്രത്തിനെന്ന് ആരോപിച്ചാണ് ഒഴിവാക്കല്‍,FALSE     ,"In an effort to win a victory, the National Institute of Human Rights set off a love film from the Republic of California, which is free from charge of the Hindu Republic."
FAKE_1013,മുഖ്യമന്ത്രി പിണറായി വിജയനെ ഡല്‍ഹിയിലേക്ക് വിളിപ്പിച്ച്് കോളറില്‍ പിടിച്ച് പ്രധാനമന്ത്രി.,FALSE     ,"The prime minister, he was called to Poland for victory, and he was arrested by the Minister of Peace."
FAKE_1014,കോടതി പറഞ്ഞാല്‍ പൗരത്വ നിയമം നടപ്പിലാക്കുമെന്ന് മുഖ്യമന്ത്രി പിണറായി വിജയന്‍,FALSE     ,The chief minister of the Ministry has succeeded as a success of the court order.
FAKE_1015,"""അയ്യപ്പ വിശ്വാസികളുടെ വോട്ട് സി.പി.എമ്മിന് വേണ്ട. കമ്മ്യൂണിസ്റ്റ് പാർട്ടി തരംതാണിട്ടില്ല, "" മുഖ്യമന്ത്രി പിണറായി വിജയൻ പറഞ്ഞു",FALSE     ,"""The vote for the Muslims has not been made by Communist party,"" said the prime minister."
FAKE_1016,ഏതൊരു മലയാളിയേയും പോലെ പിണറായി സർക്കാരിന്റെ തുടർഭരണത്തിനായി ആഗ്രഹിക്കുന്നെന്ന് ഫഹദ് ഫാസിൽ,FALSE     ,"It's like any English, and it's the government's wish for its production."
FAKE_1017,"മുഖ്യമന്ത്രി പിണറായി വിജയന്‍ ധര്‍മടം മണ്ഡലത്തിലേക്ക് മത്സരിക്കാന്‍ നല്‍കിയ സത്യവാങ്മൂലത്തില്‍, തന്റെ വീടിന്റെ വിപണിവില 8.7ലക്ഷം രൂപയാണെന്ന് പറഞ്ഞിരിക്കുന്നു",FALSE     ,"The truth, the truth, which was given to rebel against the prime minister for victory, has been said to have been said to have a total of 8.7 rupees in his home house."
FAKE_1018,1977ലെ തിരഞ്ഞെടുപ്പ് സമയത്ത് ബിജെപി പിന്തുണയോടെ എൽ ഡി എഫ് സ്ഥാനാർത്ഥിയായി പിണറായി വിജയൻ മത്സരിച്ചുയെന്ന് തെളിയിക്കുന്ന പോസ്റ്റർ പുറത്ത്.,FALSE     ,"In 1977, by the time he was selected, he was released from his home, with the support of the BBRR, proved to be a success."
FAKE_1019,മെല്‍ബണില്‍ പിണറായിക്ക് ആദരമായി കൂറ്റന്‍ ബോർഡ്; ഫോട്ടോഷോപ്പോ അതോ...സത്യം പുറത്ത്,HALF TRUE,"With respect to Melbrebrebrebbre, with respect to the film, when the photo is... the truth is outside."
FAKE_1020,മുഖ്യമന്ത്രി പിണറായി വിജയനെതിരെ വിഎസ് അച്യുതാനന്ദൻ തരംതാണ പരാമർശം നടത്തി,FALSE     ,"During the reign of the prime minister, the VCIA described the victory as a success"
FAKE_1021,മുഖ്യമന്ത്രി പിണറായി വിജയനെ പി ശ്രീരാമകൃഷ്ണന്‍ വിമര്‍ശിക്കുന്നത്,FALSE     ,The success of the prime minister is scraming Mr. Platan.
FAKE_1022,തിരഞ്ഞെടുപ്പ് പ്രചാരണത്തിനിടെ മുഖ്യമന്ത്രി പിണറായി വിജയനെ പൊതുവേദിയിൽവെച്ചു കമ്മ്യൂണിസ്റ്റ്‌ പ്രവർത്തകൻ ആക്രമിച്ചതിന്റെ വീഡിയോ പുറത്ത്.,FALSE     ,The video outside of the United States has been described as the main minister of success during the campaign.
FAKE_1023,"മുഖ്യമന്ത്രി പിണറായി വിജയന്‍ ധര്‍മടം മണ്ഡലത്തിലേക്ക് മത്സരിക്കാന്‍ നല്‍കിയ സത്യവാങ്മൂലത്തില്‍, തന്റെ വീടിന്റെ വിപണിവില 8.7ലക്ഷം രൂപയാണെന്ന് പറഞ്ഞിരിക്കുന്നു.",FALSE     ,It has been said that it has been said that it is a total of 8.7 billion dollars in the truth that the prime minister gave him to rebel against the center of his house.
FAKE_1024,സ്വപ്ന പിണറായി യുടെ മകളുടെ കല്യാണത്തിന് പങ്കെടുത്ത ഫോട്ടോ പുറത്ത്,FALSE     ,Out of the picture of my daughter's dream-in-law's wedding.
FAKE_1025,"പിണറായി അഭിനന്ദിച്ചു, ബമ്പര്‍ അടിച്ച ലോട്ടറി പായലിന് നഷ്ടമായി'; വാര്‍ത്ത ഏഷ്യാനെറ്റ് ന്യൂസിന്‍റെയല്ല",FALSE     ,"In contrast, we've lost the lottery that has been won by the Baxters and not to the Asia Asia Asians."
FAKE_1026,പിണറായി വിജയന്‍ വൃക്ഷതൈ നടാന്‍ ബൂട്ടും ഗ്ലൌവ്സും ഇട്ടു പോകുന്നതിന്‍റെ ചിത്രം.,FALSE     ,It's a picture of a tree that's going to be put in the tree's trunk and bubbles for victory.
